epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.429,0.35773,1.58832,1.11399,1,0.99517,0.995,0.99499,0.24863,1.659,0.63506,0.000654088,0.000654088,0.000654088
2,158.347,0.17481,0.72552,0.9566,0.99969,1,0.995,0.99395,0.33752,0.71765,0.80374,0.00119,0.00119,0.00119
3,181.068,0.15383,0.52228,0.95071,0.99888,1,0.995,0.995,0.22712,0.8398,0.61719,0.00159391,0.00159391,0.00159391
4,202.61,0.13551,0.39719,0.94255,0.99943,1,0.995,0.995,0.23518,0.51932,0.63161,0.001406,0.001406,0.001406
5,224.18,0.12117,0.30503,0.93174,0.9998,1,0.995,0.995,0.15045,0.32867,0.52097,0.001208,0.001208,0.001208
6,245.509,0.10592,0.24697,0.91027,0.9997,1,0.995,0.99495,0.19785,0.53037,0.56989,0.00101,0.00101,0.00101
7,269.919,0.09079,0.20943,0.90181,0.99977,1,0.995,0.995,0.13956,0.32868,0.51456,0.000812,0.000812,0.000812
8,291.888,0.08027,0.17951,0.89622,0.99978,1,0.995,0.995,0.12313,0.27306,0.51513,0.000614,0.000614,0.000614
9,312.776,0.06594,0.15733,0.89925,0.9998,1,0.995,0.995,0.14079,0.25038,0.54121,0.000416,0.000416,0.000416
10,333.975,0.05192,0.13236,0.8956,0.99979,1,0.995,0.995,0.10875,0.24203,0.49912,0.000218,0.000218,0.000218
