epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.46,0.35384,1.52024,1.08014,0.97344,0.39408,0.88662,0.48841,2.108,3.4388,1.78638,0.00046,0.00046,0.00046
2,287.222,0.21142,0.64131,0.94916,0.93726,1,0.96662,0.95971,0.26515,1.22065,0.68675,0.000921388,0.000921388,0.000921388
3,425.329,0.23887,0.64547,0.96935,0.82596,0.98925,0.97813,0.89777,0.48438,1.43827,0.90044,0.00136377,0.00136377,0.00136377
4,563.907,0.22789,0.54244,0.93837,0.99013,1,0.995,0.87817,0.47885,2.00314,0.90586,0.00178714,0.00178714,0.00178714
5,700.366,0.24046,0.49969,0.95464,0.75099,0.94624,0.89304,0.71964,0.75348,1.96656,1.23603,0.0018416,0.0018416,0.0018416
6,840.427,0.20956,0.45274,0.95062,0.85231,0.93079,0.90823,0.51746,0.9063,2.39224,1.16073,0.001802,0.001802,0.001802
7,975.355,0.19404,0.40963,0.93099,0.97419,0.98925,0.98964,0.969,0.34234,0.90236,0.77291,0.0017624,0.0017624,0.0017624
8,1113.31,0.2028,0.38329,0.91156,0.99547,1,0.995,0.99235,0.26888,0.62319,0.6682,0.0017228,0.0017228,0.0017228
9,1255.43,0.18513,0.36528,0.92971,0.99747,1,0.995,0.995,0.17611,0.52261,0.55105,0.0016832,0.0016832,0.0016832
10,1393.87,0.16425,0.32689,0.92148,0.99643,1,0.995,0.99389,0.2371,0.49405,0.62645,0.0016436,0.0016436,0.0016436
11,1531.14,0.15306,0.31186,0.92038,0.97914,1,0.995,0.995,0.15778,0.46011,0.52363,0.001604,0.001604,0.001604
12,1671.88,0.16556,0.30874,0.92313,0.99443,1,0.995,0.995,0.20252,0.5075,0.57002,0.0015644,0.0015644,0.0015644
13,1817.28,0.15951,0.32378,0.9259,0.98858,1,0.995,0.995,0.21051,0.51744,0.56828,0.0015248,0.0015248,0.0015248
14,1959.4,0.15116,0.28031,0.91325,0.99927,1,0.995,0.98554,0.21325,0.34333,0.64235,0.0014852,0.0014852,0.0014852
15,2096.68,0.13541,0.25783,0.90929,0.99796,1,0.995,0.9882,0.21448,0.37538,0.60525,0.0014456,0.0014456,0.0014456
16,2227.84,0.1323,0.26529,0.89685,0.99939,1,0.995,0.995,0.17388,0.34636,0.56584,0.001406,0.001406,0.001406
17,2361.28,0.12878,0.25301,0.90518,0.99659,1,0.995,0.995,0.2077,0.53473,0.5925,0.0013664,0.0013664,0.0013664
18,2493.62,0.15045,0.31027,0.93207,0.99496,1,0.995,0.995,0.17309,0.42813,0.53482,0.0013268,0.0013268,0.0013268
19,2625.4,0.12609,0.24947,0.91253,0.9883,1,0.995,0.99204,0.18088,0.39989,0.56995,0.0012872,0.0012872,0.0012872
20,2757.15,0.11634,0.23658,0.88427,0.9991,1,0.995,0.995,0.15353,0.27485,0.53802,0.0012476,0.0012476,0.0012476
21,2889.5,0.11473,0.22146,0.88807,0.99935,1,0.995,0.995,0.15093,0.285,0.52403,0.001208,0.001208,0.001208
22,3021.27,0.13172,0.25936,0.9162,0.99953,1,0.995,0.995,0.11454,0.27364,0.4986,0.0011684,0.0011684,0.0011684
23,3152.57,0.11361,0.28207,0.90743,0.99734,1,0.995,0.995,0.14532,0.30741,0.52594,0.0011288,0.0011288,0.0011288
24,3284.01,0.15953,0.24307,0.95378,0.99936,1,0.995,0.99258,0.16659,0.27859,0.55462,0.0010892,0.0010892,0.0010892
25,3414.63,0.13291,0.27788,0.94465,0.99941,1,0.995,0.995,0.14631,0.32446,0.53449,0.0010496,0.0010496,0.0010496
26,3545.83,0.0977,0.19119,0.88831,0.99943,1,0.995,0.995,0.13462,0.28646,0.50083,0.00101,0.00101,0.00101
27,3677.61,0.10068,0.18368,0.89126,0.99943,1,0.995,0.995,0.13794,0.24256,0.53128,0.0009704,0.0009704,0.0009704
28,3809.15,0.09431,0.22243,0.9004,0.99942,1,0.995,0.995,0.15416,0.25678,0.5321,0.0009308,0.0009308,0.0009308
29,3941.64,0.09493,0.18937,0.89931,0.99943,1,0.995,0.995,0.16148,0.23504,0.53637,0.0008912,0.0008912,0.0008912
30,4074.94,0.08951,0.19358,0.89364,0.99943,1,0.995,0.995,0.12353,0.23086,0.5005,0.0008516,0.0008516,0.0008516
31,4206.46,0.09253,0.18275,0.8829,0.99911,1,0.995,0.995,0.13248,0.21835,0.51839,0.000812,0.000812,0.000812
32,4337.89,0.11462,0.19254,0.94572,0.99936,1,0.995,0.89546,0.34406,0.54275,0.63155,0.0007724,0.0007724,0.0007724
33,4468.98,0.08749,0.19846,0.89683,0.99917,1,0.995,0.995,0.13719,0.22829,0.51453,0.0007328,0.0007328,0.0007328
34,4599.23,0.08419,0.1856,0.89106,0.99922,1,0.995,0.995,0.13041,0.20551,0.49851,0.0006932,0.0006932,0.0006932
35,4730.73,0.08818,0.27255,0.89545,0.99874,1,0.995,0.995,0.11979,0.24995,0.49164,0.0006536,0.0006536,0.0006536
36,4862.53,0.08062,0.15895,0.88642,0.99943,1,0.995,0.995,0.12164,0.24675,0.48778,0.000614,0.000614,0.000614
37,4993.87,0.07659,0.15929,0.87822,0.99943,1,0.995,0.995,0.11014,0.21624,0.48361,0.0005744,0.0005744,0.0005744
38,5125.27,0.07893,0.16881,0.90044,0.99945,1,0.995,0.995,0.10721,0.23545,0.47407,0.0005348,0.0005348,0.0005348
39,5259.1,0.07194,0.16397,0.89209,0.99943,1,0.995,0.995,0.12128,0.22776,0.49312,0.0004952,0.0004952,0.0004952
40,5392.09,0.14404,0.26179,0.98831,0.99944,1,0.995,0.995,0.13016,0.21559,0.50267,0.0004556,0.0004556,0.0004556
41,5524.18,0.165,0.54726,0.95603,0.99945,1,0.995,0.995,0.17095,0.31401,0.54251,0.000416,0.000416,0.000416
42,5655.41,0.06409,0.13459,0.89299,0.99944,1,0.995,0.995,0.12901,0.35416,0.49431,0.0003764,0.0003764,0.0003764
43,5787.53,0.0551,0.11556,0.87123,0.99945,1,0.995,0.995,0.12915,0.23843,0.50636,0.0003368,0.0003368,0.0003368
44,5919.81,0.07569,0.15434,0.89865,0.99944,1,0.995,0.995,0.12495,0.20703,0.49841,0.0002972,0.0002972,0.0002972
45,6055.46,0.0491,0.09805,0.88654,0.99943,1,0.995,0.995,0.12198,0.21783,0.50005,0.0002576,0.0002576,0.0002576
46,6187.08,0.04763,0.09396,0.87508,0.99946,1,0.995,0.995,0.1054,0.18524,0.47803,0.000218,0.000218,0.000218
47,6317.15,0.04616,0.0889,0.89477,0.99946,1,0.995,0.995,0.11395,0.19295,0.48911,0.0001784,0.0001784,0.0001784
48,6448.96,0.04216,0.08183,0.88988,0.99945,1,0.995,0.995,0.10113,0.18589,0.47766,0.0001388,0.0001388,0.0001388
